user_id,age,gender,weight_kg,height_m,bmi,fat_percentage,lean_mass_kg
1,34,Male,65,1.62,24.87,26.800377179186803,47.77739381514478
2,23,Female,56,1.55,23.48,27.65502094955822,40.8098026823542
3,33,Female,58,1.67,21.15,24.32082112410528,44.63557970100271
4,38,Female,93,1.7,32.45,32.81357178608907,63.00743237900567
5,45,Male,52,1.88,14.83,17.307318603384633,43.34750358810577
6,53,Female,105,1.84,31.03,32.04906403773502,71.38245822835935
7,23,Male,58,1.78,18.44,20.54629200523472,46.4089108397424
8,55,Female,84,1.63,31.64,32.08817620708069,57.093470262707264
9,24,Female,88,1.79,27.65,27.36724576855457,64.33809369821437
10,39,Female,50,1.6,19.66,21.90937914793248,39.29520041276037
11,50,Male,86,1.63,32.51,29.07152849804965,61.260920836234526
12,47,Female,83,1.82,25.33,23.64931819941694,64.05058696250913
13,19,Male,82,1.96,21.52,24.128786918912287,62.7151447328271
14,38,Female,57,1.56,23.7,26.59443119940612,42.33299152730249
15,27,Female,71,1.97,18.5,24.47776252578399,54.21741428273968
16,18,Female,95,1.85,27.79,28.04992817494376,68.4389083199935
17,40,Male,56,1.71,19.45,21.80926489283508,44.47489012895541
18,37,Male,76,1.77,24.41,30.300737914959768,53.30599564263877
19,18,Male,72,1.79,22.65,26.40511440359576,53.40044898875092
20,46,Male,60,1.68,21.28,21.804029360668224,46.95668036891873
21,37,Female,73,1.74,24.12,25.78541781279678,54.20633082953324
22,50,Female,86,1.63,32.64,29.12385208982389,61.46379546770473
23,30,Female,76,1.71,26.25,29.31860660365026,54.26210571037769
24,24,Female,88,1.79,27.56,26.7693540494346,64.65533730975419
25,50,Male,57,1.91,15.63,22.39259644326159,44.24398076769656
26,54,Female,87,1.76,28.16,28.418499463942585,62.43338476754927
27,25,Female,105,1.88,29.83,30.89257150473395,72.86687260540852
28,39,Male,102,1.94,27.19,32.46285886287696,69.11751023973171
29,44,Female,89,1.99,22.63,23.09052321392091,68.91089120032686
30,18,Male,58,1.61,22.59,24.496921662616764,44.214602674371626
31,57,Female,76,1.86,22.23,29.439410708808744,54.26109316492608
32,49,Male,52,1.84,15.53,14.84197561792194,44.76757341765843
33,31,Male,126,1.83,37.78,35.0,82.2445
34,41,Male,59,1.74,19.73,19.446703083030147,48.1064289188144
35,37,Male,76,1.82,23.12,22.57558193854224,59.299361793270506
36,39,Male,79,1.76,25.82,28.830453231342897,56.92852046024881
37,25,Female,127,1.73,42.62,35.0,82.9075
38,58,Female,56,1.7,19.71,23.5650452462822,43.53735022771766
39,48,Female,56,1.51,24.79,28.50765309226645,40.414623706941775
40,27,Male,88,1.98,22.5,21.047071801739808,69.63648267086549
41,40,Male,51,1.61,19.95,23.71315012526436,39.45555875521328
42,41,Female,77,1.79,24.05,25.765634036189088,57.19757897511631
43,52,Female,51,1.67,18.62,22.0592370284323,40.47463821113511
44,36,Female,109,1.77,35.07,33.42563807603815,73.14525144585689
45,33,Male,102,1.75,33.58,29.93347627236046,72.04940634913174
46,37,Female,88,1.79,27.67,29.59749049937583,62.411824672303325
47,21,Female,80,1.9,22.38,22.6918319466272,62.44953815351455
48,25,Female,70,1.5,31.35,30.919318997894145,48.72260431078526
49,40,Male,54,1.61,21.11,22.609754391390187,42.35568142159215
50,32,Male,52,1.66,19.14,23.56556909365815,40.319162303095325
51,52,Female,84,1.76,27.23,26.90164503779492,61.665772246116205
52,58,Female,59,1.76,19.26,21.52076364412733,46.82071240991363
53,52,Female,59,1.71,20.51,21.92316157235524,46.83048768890132
54,30,Female,76,1.62,29.28,28.97544940228808,54.56816222422206
55,29,Male,58,1.61,22.54,27.545948725226136,42.33490215985037
56,39,Female,71,1.88,20.18,23.967493304534432,54.226383775206045
57,39,Male,55,1.71,19.01,20.39435029298726,44.24482010715768
58,38,Female,44,1.68,15.91,20.66838612087244,35.61989463172827
59,26,Female,59,1.51,25.97,24.98062256347282,44.41897338016774
60,26,Male,87,1.63,33.0,29.90042295012659,61.46330915732901
61,45,Male,63,1.54,26.83,29.042268221161752,45.150404730874776
62,58,Female,109,1.91,30.03,30.72971438912612,75.87867085815125
63,56,Female,125,1.86,36.39,35.0,81.822
64,50,Female,70,1.68,24.91,29.252529769449342,49.74962106612322
65,56,Male,85,1.69,29.96,28.59816726529328,61.09140808781508
66,33,Female,64,1.78,20.32,22.68075382819338,49.7781306854091
67,18,Male,60,1.59,23.93,27.30236727987143,43.98933755894979
68,28,Female,69,1.58,27.69,28.50902646757633,49.42171000296448
69,31,Male,97,1.96,25.38,26.502290685568045,71.65291681063971
70,38,Male,85,1.82,25.95,28.148384968178657,61.77083344285681
71,36,Male,56,1.57,22.72,28.373558365381864,40.11080731538616
72,52,Male,47,1.76,15.4,19.119865654275376,38.57173606947608
73,18,Female,64,1.63,24.09,26.843215360604923,46.8276578476768
