workout_id,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,cal_balance
1,188.58,157.65,69.05,1.0,1080.9,Strength,725.0999999999999
2,179.43,131.75,73.18,1.37,1809.91,Hiit,-232.91000000000008
3,175.04,123.95,54.96,0.91,802.26,Cardio,805.74
4,191.21,155.1,50.07,1.1,1450.79,Hiit,1206.21
5,193.58,152.88,70.84,1.08,1166.4,Strength,303.5999999999999
6,176.52,130.6,61.84,0.69,453.33,Yoga,2313.67
7,184.75,140.9,58.01,1.67,1953.9,Strength,-86.90000000000009
8,183.87,141.12,51.79,1.01,727.81,Yoga,1463.19
9,176.78,154.07,65.19,1.76,2062.37,Strength,524.6300000000001
10,166.88,128.04,49.91,1.17,1157.25,Strength,89.75
11,160.92,143.2,57.87,1.69,1974.26,Strength,501.74
12,176.36,148.74,69.91,1.91,2733.4,Hiit,-501.4000000000001
13,173.75,168.71,62.16,1.89,2700.62,Hiit,-131.6199999999999
14,184.91,132.43,54.04,1.64,2345.2,Hiit,-619.1999999999998
15,180.96,151.11,72.68,0.75,743.85,Strength,1302.15
16,189.48,142.51,49.9,1.2,1293.84,Strength,1161.16
17,168.02,142.67,60.89,1.87,2189.58,Strength,-449.5799999999999
18,180.29,127.8,56.76,1.36,1305.6,Cardio,860.4000000000001
19,177.48,124.41,60.95,0.81,803.36,Strength,998.64
20,164.91,147.1,62.34,1.17,1544.4,Hiit,171.5999999999999
21,188.15,140.95,65.11,1.04,1123.2,Strength,914.8
22,160.86,143.17,58.08,1.7,1326.0,Yoga,886.0
23,189.88,137.2,51.88,1.27,1214.12,Cardio,967.88
24,177.55,153.6,65.23,1.76,1831.81,Cardio,578.19
25,184.12,131.58,68.07,1.09,1177.2,Strength,332.79999999999995
26,188.72,157.91,68.0,1.48,1067.38,Yoga,1201.62
27,174.12,155.79,67.11,1.33,1277.86,Cardio,1738.14
28,192.28,133.68,50.01,0.9,792.0,Cardio,1832.0
29,192.1,135.01,58.1,1.4,1848.0,Hiit,753.0
30,174.64,150.33,70.81,1.9,2226.42,Strength,-677.4200000000001
31,173.05,140.94,55.07,1.15,827.31,Yoga,1153.69
32,195.03,124.28,51.7,1.38,1324.8,Cardio,172.20000000000005
33,197.68,146.15,61.92,1.1,790.68,Yoga,2464.32
34,194.24,141.17,51.86,1.78,2545.4,Hiit,-804.4000000000001
35,191.56,121.3,49.83,1.49,1072.8,Yoga,877.2
36,167.75,166.6,74.26,1.63,1902.7,Strength,127.29999999999995
37,167.12,159.98,62.04,1.33,1607.84,Hiit,1705.16
38,170.09,121.89,57.07,0.74,895.4,Hiit,494.6
39,184.75,125.44,52.26,1.37,1311.91,Cardio,177.08999999999992
40,161.8,152.85,52.99,1.8,2577.96,Hiit,-46.96000000000004
41,198.12,128.23,70.18,0.86,566.57,Yoga,758.43
42,171.94,132.06,56.07,1.4,1849.54,Hiit,484.46
43,169.0,124.55,51.78,1.5,1818.3,Hiit,-465.3
44,191.11,156.06,73.76,1.19,786.11,Yoga,1941.89
45,185.94,140.25,52.91,1.4,1003.8,Yoga,1653.2
46,182.36,137.78,67.81,1.74,2490.11,Hiit,130.88999999999987
47,193.85,137.76,55.01,1.8,2575.98,Hiit,-401.98
48,182.39,142.14,53.94,1.15,1011.08,Cardio,827.92
49,183.75,157.78,64.12,1.55,1209.0,Yoga,340.0
50,190.86,128.92,71.91,1.26,1248.53,Strength,197.47000000000003
51,164.87,137.25,69.2,1.68,1308.38,Yoga,976.62
52,193.79,120.64,52.98,1.72,1787.42,Cardio,1.5799999999999272
53,169.37,151.06,58.16,1.24,1499.04,Hiit,148.96000000000004
54,174.06,127.01,73.99,1.39,999.97,Yoga,1268.03
55,197.67,121.65,72.05,1.2,1296.0,Strength,475.0
56,197.84,146.63,50.97,0.55,665.5,Hiit,1268.5
57,183.69,147.75,59.11,1.96,2039.97,Cardio,-383.97
58,193.25,143.88,57.92,1.01,1092.62,Strength,149.3800000000001
59,181.25,128.96,71.25,1.69,2420.42,Hiit,-548.4200000000001
60,182.88,135.14,73.97,1.75,2052.22,Strength,505.7800000000002
61,199.17,133.28,58.05,1.66,1727.73,Cardio,190.27
62,197.5,156.16,55.87,1.48,1065.6,Yoga,1890.4
63,196.94,129.1,63.86,1.0,960.8,Cardio,2463.2
64,186.97,161.25,70.19,1.16,1147.36,Strength,713.6400000000001
65,189.23,132.57,50.08,1.77,1842.22,Cardio,523.78
66,169.13,144.15,63.97,1.33,1438.79,Strength,292.21000000000004
67,183.97,127.79,53.03,1.15,1012.92,Cardio,602.08
68,181.99,134.58,49.9,1.49,1073.69,Yoga,921.31
69,188.46,137.25,49.93,1.36,1467.58,Strength,1034.42
70,191.07,160.06,72.1,1.96,2807.11,Hiit,-341.1100000000001
71,182.37,123.02,52.99,0.97,961.17,Strength,471.83
72,163.96,149.27,74.17,1.06,1399.2,Hiit,10.799999999999956
73,161.7,120.44,73.06,0.66,580.8,Cardio,1177.2
74,190.02,161.38,50.38,1.23,1180.8,Cardio,676.2
75,172.79,134.26,53.17,0.73,481.8,Yoga,660.2
76,185.09,129.92,64.85,1.74,1810.99,Cardio,808.01
77,191.78,120.66,50.15,1.49,1431.59,Cardio,459.4100000000001
78,184.44,168.17,69.96,1.26,1211.62,Cardio,2164.38
79,189.09,129.86,72.93,0.63,415.42,Yoga,1344.58
80,176.8,138.34,74.12,1.98,2060.78,Cardio,266.2199999999998
81,194.87,140.88,52.12,1.79,2097.52,Strength,-253.52
82,180.81,130.24,54.05,1.48,1950.34,Hiit,253.66000000000008
83,170.93,140.91,53.96,1.13,814.28,Yoga,871.72
84,169.95,121.09,58.27,1.18,1038.4,Cardio,586.5999999999999
85,162.06,134.87,61.98,1.29,1239.43,Cardio,1637.57
86,181.1,159.89,69.97,1.89,2206.2,Strength,174.80000000000018
87,197.11,142.95,73.33,1.93,1507.72,Yoga,444.28
88,181.94,165.14,58.1,1.2,792.72,Yoga,471.28
89,177.33,124.77,60.96,0.82,541.2,Yoga,1520.8
90,174.2,150.11,64.2,1.09,784.8,Yoga,739.2
91,193.87,143.13,65.98,1.31,1732.08,Hiit,213.92000000000007
92,190.31,160.86,58.16,1.68,2400.55,Hiit,-594.5500000000002
93,196.92,139.06,66.12,1.28,1382.4,Strength,-130.4000000000001
94,170.2,136.15,50.08,1.44,1266.05,Cardio,163.95000000000005
95,199.27,163.97,55.91,0.8,792.72,Strength,899.28
96,197.8,155.84,55.87,1.48,1067.38,Yoga,1700.62
97,167.88,159.47,67.08,1.25,1352.25,Strength,19.75
98,179.0,167.15,60.91,1.12,1355.2,Hiit,332.79999999999995
99,170.31,150.23,61.93,1.31,1298.08,Strength,277.9200000000001
100,187.99,156.71,66.74,1.49,1806.18,Hiit,-575.1800000000001
101,165.01,126.3,65.04,1.23,810.32,Yoga,1109.6799999999998
102,172.29,124.49,56.24,0.83,729.07,Cardio,1221.9299999999998
103,160.09,167.14,58.16,1.48,1597.07,Strength,209.9300000000001
104,175.12,167.81,56.74,0.54,356.08,Yoga,2276.92
105,167.05,158.16,74.06,1.18,1556.3,Hiit,-210.29999999999995
106,172.15,120.14,52.21,1.3,1405.17,Strength,214.82999999999996
107,170.2,164.8,62.91,1.97,1538.96,Yoga,125.03999999999996
108,181.73,155.5,57.19,1.26,1665.97,Hiit,23.029999999999973
109,197.18,121.27,60.07,1.21,1160.63,Cardio,1242.37
110,180.16,119.42,59.13,0.67,663.3,Strength,1377.7
111,165.42,157.38,65.05,1.14,1095.31,Cardio,1124.69
112,162.08,133.87,65.77,1.17,842.4,Yoga,2168.6
113,171.68,153.23,60.1,1.46,1927.2,Hiit,1337.8
114,198.24,146.26,62.08,1.09,1178.18,Strength,2108.82
115,171.04,163.03,73.99,0.86,1040.6,Hiit,868.4000000000001
116,166.98,165.32,61.88,1.68,1964.09,Strength,-524.0899999999999
117,161.74,145.2,70.22,1.81,2590.29,Hiit,-475.29
118,164.02,143.61,65.94,1.19,1570.8,Hiit,331.20000000000005
119,176.07,152.46,64.95,1.77,1381.66,Yoga,952.34
120,172.68,131.41,62.96,0.8,968.0,Hiit,360.0
121,173.78,155.85,67.0,1.34,1765.85,Hiit,1101.15
122,177.87,152.68,69.95,1.69,1977.3,Strength,660.7
123,194.9,156.16,61.86,1.66,1940.71,Strength,499.29
124,166.27,136.96,52.79,1.02,979.2,Cardio,1226.8
125,168.27,132.17,50.8,1.36,1305.6,Cardio,788.4000000000001
126,196.15,157.36,65.15,0.57,689.7,Hiit,591.3
127,165.87,130.04,62.01,1.41,1859.65,Hiit,211.3499999999999
128,198.13,143.77,53.07,1.38,993.6,Yoga,677.4
129,193.01,143.34,50.01,1.45,1920.38,Hiit,-668.3800000000001
130,185.32,141.02,58.07,1.67,2386.26,Hiit,-749.2600000000002
131,195.34,126.35,63.02,1.46,962.72,Yoga,1247.28
132,179.01,160.07,59.86,1.25,903.0,Yoga,2430.0
133,185.92,120.19,73.86,1.57,2245.1,Hiit,-442.0999999999999
134,191.96,145.33,65.93,1.15,827.31,Yoga,1159.69
135,174.91,164.61,58.11,1.38,914.11,Yoga,428.89
136,174.88,136.88,69.02,1.67,2386.26,Hiit,-812.2600000000002
137,169.98,153.8,58.86,1.35,1296.0,Cardio,353.0
138,186.2,135.4,55.77,0.96,634.18,Yoga,497.8200000000001
139,183.59,120.98,60.04,0.84,553.39,Yoga,1049.61
140,166.23,161.88,68.09,0.53,640.13,Hiit,1471.87
141,175.7,156.61,61.14,0.99,951.19,Cardio,1387.81
142,173.29,169.08,51.91,1.12,1352.74,Hiit,152.26
143,198.94,154.38,74.07,1.48,975.91,Yoga,512.09
144,169.24,166.3,60.84,1.83,2144.39,Strength,-207.38999999999987
145,196.04,139.78,60.96,1.89,2696.46,Hiit,-997.46
146,165.08,134.27,57.88,1.12,986.5,Cardio,2127.5
