meal_id,carbs,proteins,fats,calories,meal_type,diet_type,pct_carbs,protein_per_kg,water_intake_liters
1,267.68,106.05,71.63,1806.0,Lunch,Vegan,0.5004323258194326,1.624789336601808,1
2,214.32,85.41,56.97,1577.0,Lunch,Vegetarian,0.5008500569625799,1.5140932458783904,1
3,246.04,98.11,65.48,1608.0,Breakfast,Paleo,0.5006104012370798,1.6634452356731095,1
4,203.22,80.84,54.56,2657.0,Lunch,Paleo,0.499532962981171,0.8620174877372574,2
5,332.79,133.05,88.43,1470.0,Breakfast,Vegan,0.5005809952505048,2.538153376573827,2
6,170.86,67.92,46.06,2767.0,Snack,Keto,0.4989851495991706,0.6465492622560686,2
7,280.33,112.35,74.97,1867.0,Breakfast,Low-Carb,0.4993742902313567,1.923472008217771,2
8,262.57,105.41,70.37,2191.0,Snack,Low-Carb,0.4988861180382377,1.2538360889734743,2
9,173.08,69.44,45.91,2587.0,Lunch,Vegan,0.5004952033948543,0.7839241363738992,3
10,191.06,76.76,50.71,1247.0,Lunch,Paleo,0.5002651096113689,1.5254372019077902,2
11,258.98,102.72,68.72,2476.0,Breakfast,Keto,0.5015881623799194,1.189301840916985,3
12,231.16,93.27,61.23,2232.0,Snack,Keto,0.5001325191070917,1.1118130885683633,3
13,181.82,71.6,48.11,2569.0,Dinner,Vegan,0.5027269522420454,0.8661988870070166,3
14,369.71,147.77,98.38,1726.0,Breakfast,Low-Carb,0.5003958935350924,2.5623374371423617,2
15,207.16,82.59,55.08,2046.0,Lunch,Low-Carb,0.5007735447689035,1.1504387797743418,3
16,298.25,118.86,79.54,2455.0,Snack,Paleo,0.5003564987627396,1.2495794785534062,2
17,192.66,76.8,51.19,1740.0,Breakfast,Paleo,0.5008871989860583,1.350210970464135,2
18,233.62,92.99,62.41,2166.0,Breakfast,Low-Carb,0.5002221472809708,1.215873430962343,2
19,219.75,87.27,58.09,1802.0,Lunch,Vegetarian,0.5020303959700495,1.202728776185226,1
20,247.96,99.4,66.24,1716.0,Lunch,Vegetarian,0.4995165189363417,1.6552872606161533,2
21,300.3,120.63,80.22,2038.0,Snack,Vegan,0.4993141289437586,1.6515607886089811,2
22,256.65,103.91,68.88,2212.0,Breakfast,Balanced,0.4978275206579509,1.198224169741697,3
23,222.21,89.25,58.85,2182.0,Breakfast,Paleo,0.5006167311559062,1.1625635013677218,1
24,174.44,69.19,46.48,2410.0,Lunch,Keto,0.5009620631228282,0.783667459508438,3
25,177.97,71.05,47.3,1510.0,Lunch,Keto,0.5006963102589711,1.2462725837572357,2
26,296.87,118.4,79.38,2269.0,Lunch,Keto,0.4998863397179541,1.3574868149506996,3
27,198.29,79.79,52.85,3016.0,Lunch,Balanced,0.499480468774599,0.7567336874051594,2
28,282.28,111.71,74.89,2624.0,Lunch,Vegan,0.5018378022818082,1.0915575532538595,2
29,321.28,128.81,85.61,2601.0,Dinner,Paleo,0.4998813621953828,1.4376116071428573,2
30,231.25,92.48,61.37,1549.0,Snack,Low-Carb,0.5007443497090269,1.5792349726775956,2
31,207.11,82.81,55.52,1981.0,Breakfast,Vegetarian,0.4992527239417607,1.076853055916775,2
32,169.5,68.42,45.57,1497.0,Snack,Paleo,0.4978668096136759,1.3015027582271257,3
33,304.8,122.78,81.51,3255.0,Breakfast,Keto,0.498872708078448,0.9703627598198056,2
34,202.57,80.05,53.22,1741.0,Dinner,Paleo,0.5034483615622631,1.3404219691895511,2
35,188.66,76.42,50.28,1950.0,Lunch,Balanced,0.4988234049866476,0.9977803890847368,2
36,235.62,94.49,62.77,2030.0,Dinner,Keto,0.4998912680269655,1.1812726590823852,3
37,296.66,117.99,78.86,3313.0,Snack,Low-Carb,0.5010429245800856,0.9250490003920032,2
38,205.31,83.24,55.37,1390.0,Dinner,Low-Carb,0.4969592080022753,1.461376404494382,2
39,215.24,85.55,57.33,1489.0,Breakfast,Paleo,0.5008114569578799,1.513355740314877,2
40,296.47,118.19,79.21,2531.0,Dinner,Vegan,0.5000484919018524,1.340022675736961,3
41,217.46,86.75,57.22,1325.0,Snack,Keto,0.5022692889561271,1.6773008507347256,3
42,291.2,115.86,77.53,2334.0,Snack,Paleo,0.5007717077742572,1.5036988968202467,2
43,282.27,112.63,74.94,1353.0,Dinner,Paleo,0.5009094700229807,2.1688811862122086,1
44,306.41,122.15,82.17,2728.0,Snack,Vegetarian,0.4994926174824861,1.1117684536270138,3
45,288.65,115.2,76.75,2657.0,Snack,Balanced,0.5006612752856493,1.12029563356997,2
46,428.87,171.53,113.84,2621.0,Lunch,Balanced,0.5007004926798515,1.9349125775521716,3
47,162.37,63.98,42.89,2174.0,Breakfast,Paleo,0.5029231615056412,0.7920277296360485,3
48,217.65,85.89,58.01,1839.0,Snack,Paleo,0.5014254859611231,1.2177796682262867,2
49,274.39,109.75,73.35,1549.0,Lunch,Balanced,0.4996380951513854,2.005298739265485,2
50,247.09,98.22,66.16,1446.0,Dinner,Vegetarian,0.5000101179755955,1.8619905213270145,2
51,251.88,100.12,66.98,2285.0,Breakfast,Paleo,0.5010493231616951,1.1868183973447133,3
52,201.78,80.95,53.99,1789.0,Lunch,Vegetarian,0.4991990499928873,1.356855514582635,2
53,178.89,72.16,48.06,1648.0,Lunch,Vegan,0.49804418335955,1.2030676892297432,2
54,312.47,125.01,83.31,2268.0,Dinner,Balanced,0.5000100011601346,1.627098789535338,2
55,220.02,87.44,58.56,1771.0,Lunch,Balanced,0.5009334729748189,1.4964915283244908,2
56,256.52,101.44,67.94,1934.0,Breakfast,Low-Carb,0.502168061469192,1.4223219293325855,2
57,202.77,81.81,54.86,1656.0,Snack,Vegetarian,0.4969670232712032,1.471932349766103,2
58,282.8,113.61,75.84,1242.0,Breakfast,Vegan,0.4987214531346441,2.530289532293987,2
59,180.13,72.39,48.72,1872.0,Snack,Paleo,0.4974043187717457,1.222597534200304,2
60,410.38,163.87,109.15,2558.0,Dinner,Balanced,0.5005626114931313,1.8689552919708028,3
61,223.1,89.45,59.04,1918.0,Snack,Vegetarian,0.5009093154314197,1.4057834354864058,2
62,306.96,122.84,81.67,2956.0,Dinner,Vegan,0.5002954083358121,1.1214168340332298,2
63,298.21,120.07,79.45,3424.0,Breakfast,Low-Carb,0.4994786803284523,0.953844931680966,2
64,298.86,119.65,80.16,1861.0,Snack,Balanced,0.4990398583999866,1.7015073947667807,2
65,200.87,80.59,53.75,2366.0,Snack,Keto,0.4991830217633061,0.941912108461898,3
66,211.62,84.99,57.28,1731.0,Snack,Vegetarian,0.4973559895649721,1.320130475302889,1
67,201.97,81.36,54.63,1615.0,Snack,Balanced,0.4971599825229694,1.3445711452652451,2
68,254.78,101.9,68.03,1995.0,Breakfast,Vegan,0.4998160854148377,1.4740344278894837,2
69,276.79,109.74,73.73,2502.0,Snack,Keto,0.5010476582688069,1.1256539132218688,3
70,250.06,99.54,66.37,2466.0,Lunch,Keto,0.5011900407369735,1.1578457601488892,3
71,208.63,83.47,54.99,1433.0,Breakfast,Low-Carb,0.501722469052672,1.4905357142857143,2
72,295.15,118.76,79.09,1410.0,Snack,Vegan,0.4986800143614437,2.4902495282029777,1
73,214.64,85.59,57.27,1758.0,Lunch,Vegan,0.5002243132228275,1.3371348226839557,2
74,217.52,86.76,58.54,1857.0,Lunch,Keto,0.4989048039541738,1.3897164824603556,2
75,332.81,133.7,88.57,1142.0,Dinner,Keto,0.4998704551342948,3.1712523719165087,1
76,293.13,116.49,78.24,2619.0,Dinner,Low-Carb,0.5005122425980945,1.33558816785141,3
77,190.36,76.31,50.8,1891.0,Snack,Vegan,0.4996718901750794,1.0021011162179907,2
78,233.71,93.24,61.85,3376.0,Breakfast,Paleo,0.5014025583952373,0.7288930581613507,3
79,296.4,119.17,79.57,1760.0,Snack,Vegetarian,0.4984842815158025,2.0260115606936417,1
80,265.42,106.58,71.22,2327.0,Snack,Vegan,0.4986801191180753,1.2970670561032007,3
81,201.73,80.56,53.87,1844.0,Snack,Keto,0.4999535313106029,1.3359867330016584,2
82,207.92,83.89,56.62,2204.0,Lunch,Paleo,0.4959864505432902,1.0550874103886303,1
83,218.11,86.97,57.62,1686.0,Snack,Vegetarian,0.5017194778308126,1.5619612068965516,1
84,294.52,116.97,78.33,1625.0,Dinner,Paleo,0.5011123257604436,1.755779045331732,3
85,303.62,121.46,81.55,2877.0,Snack,Balanced,0.4989093239451663,1.1690086621751683,3
86,278.15,112.06,74.19,2381.0,Dinner,Vegan,0.4992483902088801,1.3581384074657616,3
87,365.05,146.28,97.25,1952.0,Breakfast,Low-Carb,0.4999708960922012,2.3222733767264643,2
88,275.13,111.49,74.23,1264.0,Snack,Keto,0.4969497189045178,2.5594582185491275,1
89,218.96,88.29,58.24,2062.0,Breakfast,Vegetarian,0.499577905040042,1.206477179557256,1
90,237.92,94.96,62.69,1524.0,Breakfast,Balanced,0.5020124173801122,1.8339127076091155,2
91,231.65,92.08,61.08,1946.0,Dinner,Keto,0.5023202359267933,1.298547454519814,2
92,217.93,87.58,57.79,1806.0,Lunch,Paleo,0.5003702321843698,1.4078122488345926,2
93,201.46,79.89,53.95,1252.0,Lunch,Paleo,0.5002265743815761,1.558829268292683,1
94,233.19,93.15,61.59,1430.0,Breakfast,Vegan,0.5015728597009147,1.8129622421175555,2
95,208.16,83.98,55.66,1692.0,Snack,Balanced,0.4987361485474693,1.2653307217116168,2
